ケトジェニックダイエット時に摂取すると良いものはどれ？,MCTオイル,マルチデキストリン,大根
この中で一番GI値が高いのはどれ？,食パン,豚肉,パスタ
この中で一番アミノ酸スコアが高いのは？,牛乳,白米,みかん
VLCDって何のこと？,ダイエット名,種目名,器具名
ビタミンB6の効果は？,タンパク質の合成を助ける,体脂肪を燃やす,炎症を防ぐ
ダンベルフライとベンチプレスより胸に効くのはどっち？,ダンベルフライ,ベンチプレス,変わらない
サイドレイズで鍛えられる筋肉は？,三角筋,上腕三頭筋,僧帽筋
ダンベルカールで鍛えられる筋肉は？,上腕二頭筋,上腕三頭筋,三角筋
ナチュラルとは何を使ってない人？,ステロイド,セロトニン,アステルパーム
筋肉は何によって発達する？,ストレス応答,超回復,糖新生
国際ボディビル連盟の略称は？,IFBB,VLCD,FIFA
カタボリックの逆は何？,アイソレーション,テレボリック,アナボリック
Ｗ字型のバーのことをなんと言う？,EZバー,ダンベル,ZEバー
GI値のGIは何の略？,グリセミック,グリテミック,ギガイック
チーティングの反対は？,ストリクト,スプリット,カーティング
