この中で一番脂質が低いのは？（100ｇ）,たまご,豚バラ肉,鶏むね肉
ベンチプレスは何エクササイズ？,コアエクササイズ,補助エクササイズ,パワーエクササイズ
筋肉を大きくしたいなら「」を目的とすべきである,筋肥大,筋パワー,筋力
筋トレは空腹の状態ですべき？,いいえ,うん,マッチョ！！
サイドレイズで鍛えられる部位は？,肩,腕,足
ダンベルカールで鍛えられる部位は？,腕,肩,背中
反動を使うことをなんと言う？,チーティング,スティッキング,ボーリング
2つの種目を連続して行うことをなんと言う？,スーパーセット,ダブルブッキング,ピリオダイゼーション
この中で胸を鍛えられるのはどれ？,ディップス,デッドリフト,アブローラー
インターバルって何？,休憩,種目名,サプリメント
一回できる最大重量のことを何と言う？,1RM,1MR,1SM
何もしなくても消費するエネルギーのことをなんと言う？,基礎代謝,ホメオスタシス,不労代謝
コンパウンドの反対は？,アイソレーション,カタボリック,サーキット
ソイプロテインの主原料は何？,大豆,肉,ヨーグルト
ダンベルフライで鍛えられるのはどの部位？,胸,肩,足
